                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.66677,                0.54901,                 1.0032,                0.63286,                0.80554,                0.72703,                0.51943,                 1.0659,                 1.5035,                 1.3839,             0.00082067,             0.00082067,             0.00082067
                     45,                0.65511,                 0.5274,                 1.0012,                0.77176,                0.73079,                0.80576,                0.55924,                 1.0863,                0.96075,                 1.4253,             0.00080653,             0.00080653,             0.00080653
                     46,                0.63798,                0.51155,                 0.9762,                0.56631,                 0.8071,                0.70857,                0.45818,                 1.1562,                 1.3134,                 1.4256,             0.00079238,             0.00079238,             0.00079238
                     47,                0.63256,                0.52373,                0.98381,                0.72513,                0.73225,                0.79243,                0.56734,                 1.1159,                 1.0495,                 1.4329,             0.00077823,             0.00077823,             0.00077823
                     48,                0.65145,                0.53146,                0.99083,                0.67946,                0.79771,                0.78596,                0.55274,                 1.1902,                 1.2229,                 1.4936,             0.00076409,             0.00076409,             0.00076409
                     49,                0.63198,                0.49056,                0.99986,                0.75041,                0.73545,                0.72727,                0.50462,                  1.215,                 1.4398,                 1.5134,             0.00074994,             0.00074994,             0.00074994
                     50,                0.64254,                0.52485,                0.99395,                0.49139,                0.61869,                0.61103,                 0.4265,                 1.1328,                  1.623,                 1.4322,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.5957,                0.50943,                0.97084,                 0.8256,                 0.7467,                0.78046,                0.53178,                 1.2338,                0.95182,                  1.522,             0.00072164,             0.00072164,             0.00072164
                     52,                 0.6502,                0.51661,                 1.0064,                0.74003,                0.78927,                0.88804,                0.64229,                  1.126,                0.91155,                 1.4103,              0.0007075,              0.0007075,              0.0007075
                     53,                 0.6186,                0.49606,                 0.9844,                0.80587,                0.69619,                0.83135,                0.57026,                 1.2106,                 1.0458,                 1.5029,             0.00069335,             0.00069335,             0.00069335
                     54,                0.63549,                0.50139,                 1.0016,                0.85746,                0.71813,                0.79792,                0.57675,                 1.0619,                 1.0514,                 1.3724,              0.0006792,              0.0006792,              0.0006792
                     55,                0.61562,                0.47208,                 0.9621,                0.81564,                0.81587,                0.90212,                 0.6719,                 1.0267,                0.87638,                 1.3662,             0.00066506,             0.00066506,             0.00066506
                     56,                0.58371,                0.44507,                0.95869,                0.83695,                 0.8469,                 0.8695,                0.63898,                 1.1089,                0.79808,                 1.4335,             0.00065091,             0.00065091,             0.00065091
                     57,                 0.5793,                 0.4625,                0.96291,                0.82084,                0.79791,                0.85959,                0.60486,                 1.1203,                0.90964,                 1.4479,             0.00063676,             0.00063676,             0.00063676
                     58,                 0.6154,                0.46336,                0.98979,                0.83169,                0.85355,                0.87087,                0.62476,                 1.0751,                0.86068,                 1.4461,             0.00062262,             0.00062262,             0.00062262
                     59,                0.63012,                 0.4893,                0.99326,                0.81915,                0.80964,                0.86306,                0.65151,                0.98334,                0.85598,                 1.3595,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.5988,                0.46546,                0.99171,                0.80234,                0.78317,                0.83497,                0.60986,                0.98484,                0.94144,                 1.3292,             0.00059432,             0.00059432,             0.00059432
                     61,                0.56735,                0.44713,                0.95824,                0.76291,                0.78342,                0.79403,                0.57281,                 1.0999,                 1.0766,                  1.442,             0.00058017,             0.00058017,             0.00058017
                     62,                0.61012,                0.46478,                0.98261,                0.79372,                0.70406,                0.72125,                0.53681,                  1.063,                 1.1609,                  1.406,             0.00056603,             0.00056603,             0.00056603
                     63,                0.59096,                0.45344,                0.96544,                0.77523,                 0.7164,                 0.7412,                0.56817,                0.96946,                  1.058,                 1.3582,             0.00055188,             0.00055188,             0.00055188
                     64,                0.56286,                0.42861,                0.96336,                0.75474,                0.71538,                0.84352,                0.65423,                0.96168,                0.93164,                 1.3679,             0.00053773,             0.00053773,             0.00053773
                     65,                0.55985,                0.43744,                0.94795,                0.64697,                0.85031,                0.81086,                0.63251,                0.92074,                  0.976,                  1.314,             0.00052359,             0.00052359,             0.00052359
                     66,                0.54463,                0.41929,                0.95212,                0.68403,                0.78177,                0.80093,                0.59928,                  1.063,                 1.0294,                 1.3982,             0.00050944,             0.00050944,             0.00050944
                     67,                0.54207,                0.42292,                 0.9492,                0.82016,                0.66073,                0.78695,                0.59325,                0.99827,                 1.1292,                 1.3419,             0.00049529,             0.00049529,             0.00049529
                     68,                0.58574,                0.43874,                0.98213,                0.79909,                0.65612,                0.77404,                0.58165,                 1.0256,                 1.1139,                 1.3645,             0.00048114,             0.00048114,             0.00048114
                     69,                 0.5535,                0.40266,                0.97348,                0.79381,                0.70373,                0.76151,                0.50923,                 1.2892,                 1.2315,                 1.5892,               0.000467,               0.000467,               0.000467
                     70,                0.56689,                 0.4297,                0.96247,                0.79148,                0.72912,                0.79043,                0.54843,                 1.1981,                 1.2363,                 1.5201,             0.00045285,             0.00045285,             0.00045285
                     71,                0.54116,                0.40629,                0.94747,                0.74693,                 0.8652,                0.82462,                0.58077,                  1.188,                 1.0248,                 1.5271,              0.0004387,              0.0004387,              0.0004387
                     72,                0.54187,                0.40802,                0.94623,                0.73003,                0.87612,                 0.8576,                0.60481,                  1.213,                0.94452,                  1.547,             0.00042456,             0.00042456,             0.00042456
                     73,                0.54661,                0.40974,                0.95222,                0.80854,                0.73909,                0.88053,                0.62053,                 1.1626,                 1.0362,                 1.4801,             0.00041041,             0.00041041,             0.00041041
                     74,                0.51288,                0.40185,                0.92198,                0.86125,                0.72249,                0.89284,                0.66826,                 1.0371,                 1.1498,                 1.4052,             0.00039626,             0.00039626,             0.00039626
                     75,                0.50483,                0.39594,                0.93537,                0.77392,                0.86264,                0.85895,                0.62377,                 1.0618,                0.98717,                 1.4635,             0.00038211,             0.00038211,             0.00038211
